Origin,Country,Continent,January,February,March,April,May,June,July,August,September,October,November,December,YearAmt,year
Connecticut,USA,North America,1333,2174,3191,2743,1688,1965,2375,1930,864,1053,1328,2049,22693,2001
Delaware,USA,North America,384,420,698,618,479,589,479,355,181,313,314,336,5166,2001
Maine,USA,North America,229,331,477,436,243,125,121,109,104,112,142,170,2599,2001
Maryland,USA,North America,2376,2226,3440,3393,2981,3719,3756,3796,1643,1824,2458,2719,34331,2001
Massachusetts,USA,North America,2729,3661,5280,3747,2618,2140,2288,2407,969,1225,1751,2482,31297,2001
New Hamshire,USA,North America,476,686,815,832,314,268,231,176,120,187,292,192,4589,2001
New Jersey,USA,North America,3831,4746,6265,6028,5112,5351,5564,5143,2192,2567,4197,3787,54783,2001
New York,USA,North America,10197,14641,16270,17941,13115,13146,17189,16847,7131,7959,9958,15049,159443,2001
Pennsylvania,USA,North America,4199,4303,6320,4542,4566,5301,5135,4211,2025,2546,3440,3094,49682,2001
Rhode Island,USA,North America,233,356,626,288,263,213,229,162,97,131,170,228,2996,2001
Vermont,USA,North America,139,283,284,357,130,85,76,41,39,59,94,102,1689,2001
Virginia,USA,North America,1484,1412,2502,2227,1776,2056,1853,1609,771,1163,1199,1407,19459,2001
Washington D.C,USA,North America,347,350,610,530,477,517,462,644,225,322,352,535,5371,2001
West Virginia,USA,North America,116,162,313,150,177,296,183,148,79,66,79,136,1905,2001
Illinois,USA,North America,4974,5017,6476,5009,4377,4536,4370,4218,2014,2418,3506,4718,51633,2001
Indiana,USA,North America,1170,967,1912,1074,1127,1203,1125,729,565,682,615,799,11968,2001
Iowa,USA,North America,1148,924,1172,409,484,346,407,315,238,262,406,544,6655,2001
Kansas,USA,North America,436,369,921,296,426,520,544,324,179,178,259,240,4692,2001
Kentucky,USA,North America,321,520,753,514,370,523,581,360,288,371,210,245,5056,2001
Michigan,USA,North America,2464,4644,4690,4177,1703,1591,1942,1405,776,1018,1508,2029,27947,2001
Minnesota,USA,North America,3127,3552,4066,1889,519,610,593,493,356,358,734,1289,17586,2001
Missouri,USA,North America,1613,1470,1980,1588,1715,1846,1937,1417,630,756,844,988,16784,2001
Nebraska,USA,North America,711,405,513,394,322,348,315,245,175,144,243,209,4024,2001
North Dakota,USA,North America,189,170,187,65,59,36,57,47,22,40,74,68,1014,2001
Ohio,USA,North America,1785,1771,2904,1953,1395,1791,1876,1503,784,900,1010,1315,18987,2001
South Dakota,USA,North America,197,198,235,76,51,47,70,54,36,43,32,96,1135,2001
Wisconsin,USA,North America,4618,4102,4640,3222,1204,1244,919,866,662,929,1156,1580,25142,2001
Alabama,USA,North America,314,559,890,425,738,945,828,596,312,383,259,355,6604,2001
